imdb_id,title,year,budget,actual_budget,revenue,actual_revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies,0,1
114709,Toy Story,1995,30.0,54.9,373.55,683.6,81,7.7,5415,21.946943,1,862.0,Adventure|Animation|Comedy|Fantasy,John Lasseter,934,45,979,0120363|0435761|1850374|2033372|2340678|2446040|3473654|1979376|1016726|0114709,-0.0150196932091584,0.0183614494279054
113497,Jumanji,1995,65.0,118.95,262.8,480.92,104,6.9,2413,17.015539,2,8844.0,Adventure|Fantasy,Joe Johnston,154,11,165,2283362|7975244|0113497,-0.0038057158638002,0.0209140184387722
114885,Waiting to Exhale,1995,16.0,29.28,81.45,149.05,127,6.1,34,3.859495,4,31357.0,Comedy|Drama,Forest Whitaker,53,5,58,0114885,-0.016025899684852,0.003452639523459
113277,Heat,1995,60.0,109.8,187.44,343.02,170,7.7,1886,17.924927,6,949.0,Action|Thriller,Michael Mann,224,19,243,2229525|0097700|0113277,0.0119991171325652,-0.0070076249738691
114576,Sudden Death,1995,35.0,64.05,64.35,117.76,106,5.5,174,5.23158,9,9091.0,Action,Peter Hyams,28,6,34,1080478|0114576,0.0170731010409969,0.016447937233936
113189,GoldenEye,1995,58.0,106.14,352.19,644.51,130,6.6,1194,14.686036,10,710.0,Action|Adventure|Thriller,Martin Campbell,496,30,526,0120347|0143145|0246460|0381061|0830515|1074638|2379713|2382320|0055928|0057076|0058150|0059800|0062512|0064757|0066995|0070328|0071807|0076752|0079574|0082398|0086034|0090264|0093428|0097742|0113189,0.0075016677841547,0.0057391112846564
112346,The American President,1995,62.0,113.46,107.88,197.42,106,6.5,199,6.318445,11,9087.0,Comedy|Drama,Rob Reiner,38,7,45,0112346,-0.0182179612550002,0.0032129049046777
113987,Nixon,1995,44.0,80.52,13.68,25.03,192,7.1,72,5.092,14,10858.0,Drama,Oliver Stone,46,7,53,0113987,-0.0006946041568534,0.0248224930797735
112760,Cutthroat Island,1995,98.0,179.34,10.02,18.34,119,5.7,137,7.284477,15,1408.0,Action|Adventure,Renny Harlin,42,1,43,0112760,0.0051631235712149,0.0133818336492105
112641,Casino,1995,52.0,95.16,116.11,212.48,178,7.8,1343,10.137389,16,524.0,Drama,Martin Scorsese,201,14,215,0112641,-0.0161930736022435,-0.0194331941848842
114388,Sense and Sensibility,1995,16.5,30.2,135.0,247.05,136,7.2,364,10.673167,17,4584.0,Drama,Ang Lee,71,1,72,0114388,-0.0056500400713256,0.0239372487787205
113101,Four Rooms,1995,4.0,7.32,4.3,7.87,98,6.5,539,9.026586,18,5.0,Comedy,Allison Anders,31,19,50,0113101,-0.0058013830995127,-0.0221800959054058
112281,Ace Ventura: When Nature Calls,1995,30.0,54.9,212.39,388.67,90,6.1,1128,8.205448,19,9273.0,Comedy,Steve Oedekerk,71,26,97,0844029|0109040|0112281,0.0109905080100542,0.0206073403984525
113845,Money Train,1995,60.0,109.8,35.43,64.84,103,5.4,224,7.337906,20,11517.0,Action|Comedy|Drama|Thriller,Joseph Ruben,23,7,30,7286966|0113845,-0.0012296087221599,0.0003780831301156
113161,Get Shorty,1995,30.25,55.36,115.1,210.63,105,6.4,305,12.669608,21,8012.0,Comedy|Thriller,Barry Sonnenfeld,63,19,82,0377471|0113161,0.0007214335108336,0.0004882731357069
112401,Assassins,1995,50.0,91.5,30.3,55.45,132,6.0,394,11.065939,23,9691.0,Action|Thriller,Richard Donner,13,2,15,0112401,0.0107815509431632,-0.0007012848653414
113627,Leaving Las Vegas,1995,3.6,6.59,49.8,91.13,112,7.1,365,10.332025,25,451.0,Drama,Mike Figgis,97,7,104,0113627,-0.007908571131368,-0.0229545305906684
114011,Now and Then,1995,12.0,21.96,27.4,50.14,100,6.6,91,8.681325,27,9263.0,Drama,Lesli Linka Glatter,8,13,21,0114011,0.000289122187956,0.0235323603214004
112682,The City of Lost Children,1995,18.0,32.94,1.74,3.18,108,7.6,308,9.822423,29,902.0,Adventure|Drama|Fantasy|Sci-Fi,Jean-Pierre Jeunet,33,18,51,0112682,-0.0121869365077903,0.0104639200670915
114746,Twelve Monkeys,1995,29.5,53.98,168.84,308.98,129,7.4,2470,12.297305,32,63.0,Sci-Fi|Thriller,Terry Gilliam,128,21,149,0056119|0114746,0.0115770968465526,-0.0178989292243057
112431,Babe,1995,30.0,54.9,254.13,465.06,89,6.0,756,14.404764,34,9598.0,Drama,Chris Noonan,235,1,236,0120595|0112431,0.0226349354059617,-0.00634868163196
112818,Dead Man Walking,1995,11.0,20.13,39.36,72.03,122,7.3,350,6.891317,36,687.0,Drama,Tim Robbins,116,2,118,0321235|0112818,-0.0173637151523609,-0.0168473961753607
113855,Mortal Kombat,1995,18.0,32.94,122.2,223.63,101,5.4,452,10.870138,44,9312.0,Action|Adventure|Fantasy,Paul W.S. Anderson,182,3,185,0119707|0170982|0293429|0113855,0.0038770539045055,0.0169522512631865
114681,To Die For,1995,20.0,36.6,21.28,38.94,106,6.7,177,10.448481,45,577.0,Comedy|Drama|Thriller,Gus Van Sant,36,20,56,0114681,-0.0092490268584859,-0.0067408545324266
113347,How To Make An American Quilt,1995,10.0,18.3,23.57,43.13,116,6.5,38,4.485958,46,11861.0,Drama,Jocelyn Moorhouse,8,1,9,0113347,0.0054418630453289,-0.0234238112458705
114369,Se7en,1995,33.0,60.39,327.31,598.98,127,8.1,5915,18.45743,47,807.0,Thriller,David Fincher,380,29,409,0114369,0.0105174743997535,-0.0197098075182129
114148,Pocahontas,1995,55.0,100.65,346.08,633.33,81,6.7,1509,13.280069,48,10530.0,Animation|Drama|Musical,Mike Gabriel,348,4,352,0143808|0114148,-0.0209312157529114,-0.0060569651223002
114814,The Usual Suspects,1995,6.0,10.98,23.34,42.71,106,8.1,3334,16.302466,50,629.0,Thriller,Bryan Singer,378,18,396,0454431|0114814,0.0110145269455755,-0.0194778311935039
113819,Mighty Aphrodite,1995,15.0,27.45,6.7,12.26,95,6.7,145,15.899134,52,11448.0,Comedy|Drama,Woody Allen,24,10,34,0113819,-0.0191628582145554,0.00241836081841
113118,Friday,1995,3.5,6.4,28.22,51.64,91,7.0,513,14.56965,69,10634.0,Comedy,F. Gary Gray,133,8,141,0195945|0293815|6914708|0113118,-0.0011526547725275,0.0242765510738071
116367,From Dusk Till Dawn,1996,19.0,33.82,25.84,46.0,108,6.9,1644,15.339153,70,755.0,Action|Comedy|Horror|Thriller,Robert Rodriguez,190,33,223,0120860|0120695|3337194|0116367,0.0058962796715556,0.0014408285632253
113010,Fair Game,1995,50.0,91.5,11.53,21.1,91,4.1,54,5.912223,71,11859.0,Action,Andrew Sipes,11,0,11,0113010,0.0234067906823996,0.0110015696829052
115676,Big Bully,1996,15.0,26.7,2.04,3.63,90,3.9,16,2.936443,75,36929.0,Comedy|Drama,Steve Miner,3,12,15,0115676,-0.0232716663043785,0.0061667607285722
114367,Screamers,1995,20.0,36.6,5.78,10.58,108,6.1,154,12.758848,76,9102.0,Action|Sci-Fi|Thriller,Christian Duguay,15,2,17,1214983|0114367,0.0125832578942587,0.0017072750134982
114660,Things to Do in Denver When You're Dead,1995,8.0,14.64,0.53,0.97,116,6.7,87,4.486179,81,400.0,Drama,Gary Fleder,19,11,30,0114660,0.0209251314330223,0.0009453544224075
118158,White Squall,1996,38.0,67.64,10.3,18.33,129,6.3,86,9.568604,86,10534.0,Action|Adventure|Drama,Ridley Scott,11,3,14,0118158,-0.0025200016520097,0.006413493352018
113972,Nick of Time,1995,8.17,14.95,8.18,14.97,90,6.1,190,6.848591,89,2086.0,Action|Thriller,John Badham,9,8,17,0113972,0.0109914208262799,-0.0014619857870446
117002,Mary Reilly,1996,47.0,83.66,12.38,22.04,104,5.7,77,12.866139,92,9095.0,Drama|Horror|Thriller,Stephen Frears,9,0,9,0117002,0.0064823188133271,-0.0122221897334662
114825,Vampire in Brooklyn,1995,14.0,25.62,19.8,36.23,100,4.5,113,9.071127,93,12158.0,Comedy|Horror,Wes Craven,15,12,27,0114825,-0.0175141479828748,0.0167472043061845
115759,Broken Arrow,1996,50.0,89.0,150.27,267.48,108,5.7,459,14.957626,95,9208.0,Action|Adventure|Thriller,John Woo,34,2,36,0115759,0.0100462138237879,0.0044028638651157
115734,Bottle Rocket,1996,7.0,12.46,0.56,1.0,91,6.8,285,6.904831,101,13685.0,Adventure|Comedy,Wes Anderson,32,8,40,0109322|0115734,-0.0132824762960364,0.0147454676935679
116483,Happy Gilmore,1996,12.0,21.36,41.21,73.35,92,6.5,767,9.592265,104,9614.0,Comedy,Dennis Dugan,177,26,203,5943306|0116483,0.0121744961949825,0.018300409093743
112579,The Bridges of Madison County,1995,24.0,43.92,182.02,333.1,135,7.3,397,5.951077,105,688.0,Drama,Clint Eastwood,123,4,127,0059564|0112579,0.0096275615677783,0.0227033833695448
112573,Braveheart,1995,72.0,131.76,210.0,384.3,177,7.7,3404,20.755149,110,197.0,Action|Drama,Mel Gibson,562,5,567,0112573,-0.0109965055721287,-0.0048995562520714
75314,Taxi Driver,1976,1.3,6.37,28.26,138.47,114,8.1,2632,14.092713,111,103.0,Drama|Thriller,Martin Scorsese,1162,57,1219,0075314,-0.006737923914265,-0.0170871883873673
113326,Rumble in the Bronx,1995,7.5,13.73,32.39,59.27,91,6.5,245,12.314278,112,33542.0,Action|Adventure|Comedy,Stanley Tong,48,5,53,0113326,-0.0027192378024789,0.013569225909667
114536,Steal Big Steal Little,1995,25.0,45.75,6.28,11.49,113,5.1,7,1.522412,119,78406.0,Comedy,Andrew Davis,2,0,2,0114536,0.0238066545798849,-0.0064286967715666
103859,Boomerang,1992,40.0,79.6,70.1,139.5,117,5.4,139,6.506983,122,11066.0,Comedy,Reginald Hudlin,35,5,40,9064792|0103859,0.0238256613974536,8.549564122012824e-05
116324,Flirting with Disaster,1996,7.0,12.46,14.7,26.17,92,6.3,66,5.579088,125,2074.0,Comedy,David O. Russell,18,3,21,0116324,0.021879059541043,-0.0015364842663539
113451,Jade,1995,50.0,91.5,9.85,18.03,95,5.1,45,11.418917,132,11863.0,Thriller,William Friedkin,20,2,22,0113451,0.0136657723147092,-0.0169730906335467
115685,The Birdcage,1996,31.0,55.18,185.26,329.76,117,6.7,303,6.49968,141,11000.0,Comedy,Mike Nichols,58,9,67,0077288|0115685,0.0026621638340254,0.0227506593529804
