imdb_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies
0114709,Toy Story,1995,30.0,373.554033,81,7.7,5415,21.946943,1,862.0,Adventure|Animation|Comedy|Fantasy,John Lasseter,934,45,979,0120363|0435761|1850374|2033372|2340678|2446040|3473654|1979376|1016726
0113497,Jumanji,1995,65.0,262.79724899999997,104,6.9,2413,17.015539,2,8844.0,Adventure|Fantasy,Joe Johnston,154,11,165,2283362|7975244
0114885,Waiting to Exhale,1995,16.0,81.452156,127,6.1,34,3.859495,4,31357.0,Comedy|Drama,Forest Whitaker,53,5,58,N
0113277,Heat,1995,60.0,187.4368179999,170,7.7,1886,17.924927,6,949.0,Action|Thriller,Michael Mann,224,19,243,2229525|0097700
0114576,Sudden Death,1995,35.0,64.350171,106,5.5,174,5.23158,9,9091.0,Action,Peter Hyams,28,6,34,1080478
0113189,GoldenEye,1995,58.0,352.194034,130,6.6,1194,14.686036,10,710.0,Action|Adventure|Thriller,Martin Campbell,496,30,526,0120347|0143145|0246460|0381061|0830515|1074638|2379713|2382320|0055928|0057076|0058150|0059800|0062512|0064757|0066995|0070328|0071807|0076752|0079574|0082398|0086034|0090264|0093428|0097742
0112346,The American President,1995,62.0,107.879496,106,6.5,199,6.318445,11,9087.0,Comedy|Drama,Rob Reiner,38,7,45,N
0113987,Nixon,1995,44.0,13.681764999999999,192,7.1,72,5.092,14,10858.0,Drama,Oliver Stone,46,7,53,N
0112760,Cutthroat Island,1995,98.0,10.017322,119,5.7,137,7.284477,15,1408.0,Action|Adventure,Renny Harlin,42,1,43,N
0112641,Casino,1995,52.0,116.112375,178,7.8,1343,10.137389,16,524.0,Drama,Martin Scorsese,201,14,215,N
0114388,Sense and Sensibility,1995,16.5,135.0,136,7.2,364,10.673167,17,4584.0,Drama,Ang Lee,71,1,72,N
0113101,Four Rooms,1995,4.0,4.300000000000001,98,6.5,539,9.026586,18,5.0,Comedy,Allison Anders,31,19,50,N
0112281,Ace Ventura: When Nature Calls,1995,30.0,212.385533,90,6.1,1128,8.205448,19,9273.0,Comedy,Steve Oedekerk,71,26,97,0844029|0109040
0113845,Money Train,1995,60.0,35.431113,103,5.4,224,7.337906,20,11517.0,Action|Comedy|Drama|Thriller,Joseph Ruben,23,7,30,7286966
0113161,Get Shorty,1995,30.25,115.101622,105,6.4,305,12.669608,21,8012.0,Comedy|Thriller,Barry Sonnenfeld,63,19,82,0377471
0112401,Assassins,1995,50.0,30.303072,132,6.0,394,11.065939,23,9691.0,Action|Thriller,Richard Donner,13,2,15,N
0113627,Leaving Las Vegas,1995,3.6,49.8,112,7.1,365,10.332025,25,451.0,Drama,Mike Figgis,97,7,104,N
0114011,Now and Then,1995,12.0,27.4,100,6.6,91,8.681325,27,9263.0,Drama,Lesli Linka Glatter,8,13,21,N
0112682,The City of Lost Children,1995,18.0,1.738611,108,7.6,308,9.822423,29,902.0,Adventure|Drama|Fantasy|Sci-Fi,Jean-Pierre Jeunet,33,18,51,N
0114746,Twelve Monkeys,1995,29.5,168.84,129,7.4,2470,12.297305,32,63.0,Sci-Fi|Thriller,Terry Gilliam,128,21,149,0056119
0112431,Babe,1995,30.0,254.13491,89,6.0,756,14.404764,34,9598.0,Drama,Chris Noonan,235,1,236,0120595
0112818,Dead Man Walking,1995,11.0,39.363635,122,7.3,350,6.891317,36,687.0,Drama,Tim Robbins,116,2,118,0321235
0113855,Mortal Kombat,1995,18.0,122.19592,101,5.4,452,10.870138,44,9312.0,Action|Adventure|Fantasy,Paul W.S. Anderson,182,3,185,0119707|0170982|0293429
0114681,To Die For,1995,20.0,21.284514,106,6.7,177,10.448481,45,577.0,Comedy|Drama|Thriller,Gus Van Sant,36,20,56,N
0113347,How To Make An American Quilt,1995,10.0,23.57413,116,6.5,38,4.485958,46,11861.0,Drama,Jocelyn Moorhouse,8,1,9,N
0114369,Se7en,1995,33.0,327.31185899999997,127,8.1,5915,18.45743,47,807.0,Thriller,David Fincher,380,29,409,N
0114148,Pocahontas,1995,55.0,346.079773,81,6.7,1509,13.280069,48,10530.0,Animation|Drama|Musical,Mike Gabriel,348,4,352,0143808
0114814,The Usual Suspects,1995,6.0,23.341568,106,8.1,3334,16.302466,50,629.0,Thriller,Bryan Singer,378,18,396,0454431
0113819,Mighty Aphrodite,1995,15.0,6.7,95,6.7,145,15.899134,52,11448.0,Comedy|Drama,Woody Allen,24,10,34,N
0113118,Friday,1995,3.5,28.215918000000002,91,7.0,513,14.56965,69,10634.0,Comedy,F. Gary Gray,133,8,141,0195945|0293815|6914708
0116367,From Dusk Till Dawn,1996,19.0,25.836616,108,6.9,1644,15.339153,70,755.0,Action|Comedy|Horror|Thriller,Robert Rodriguez,190,33,223,0120860|0120695|3337194
